iteration,fun_value
0,0.0011572643786722315
1,0.00042405461324577885
2,0.00042405461324577885
3,0.00042405461324577885
4,0.00042405461324577885
5,0.00034244367079498315
6,0.00023980967478364303
7,0.00011995190795078275
8,0.00011995190795078275
9,0.00011995190795078275
10,0.00011469230039926267
11,0.00011469230039926267
12,0.00011403841306407216
13,0.00011403841306407216
14,0.00011403841306407216
15,0.00011403841306407216
16,0.00011403841306407216
17,0.00010932001195567257
18,0.00010584944908337178
19,0.00010584944908337178
20,0.00010478935268371214
21,0.00010478935268371214
22,0.00010478935268371214
23,0.00010478935268371214
24,0.00010477785675079564
25,0.00010410597704234232
26,0.00010410597704234232
27,0.00010410597704234232
28,0.00010410597704234232
29,0.00010401590430885988
30,0.00010401590430885988
31,0.00010401590430885988
32,0.00010401590430885988
33,0.00010401590430885988
34,0.00010401590430885988
35,0.00010401328490798458
36,0.0001040019162768233
37,0.0001039931752839475
38,0.0001039931752839475
39,0.0001039931752839475
final,0.0001039927823785468
0,0.06363179039459178
1,0.06363179039459178
2,0.004351531046132945
3,0.0020165296679773973
4,0.00043789631904401794
5,0.00043789631904401794
6,0.00024181315927636896
7,0.0001807064039621346
8,0.0001807064039621346
9,0.0001807064039621346
10,0.00016387209628021898
11,0.00016387209628021898
12,0.00016387209628021898
13,0.00016387209628021898
14,0.0001596433968691085
15,0.0001596433968691085
16,0.00015751329727499913
17,0.00015657708869171405
18,0.00015657708869171405
19,0.00015657708869171405
20,0.00015607883126370127
21,0.00015589441505789564
22,0.00015589441505789564
23,0.00015586611994992939
24,0.00015579195802530529
25,0.00015538295692040896
26,0.00015538295692040896
27,0.00015538295692040896
28,0.0001553051209196412
29,0.0001553051209196412
30,0.0001552831711958965
31,0.00015527678196309628
32,0.00015526917679828636
33,0.00015526345319378973
34,0.00015526345319378973
35,0.00015526345319378973
36,0.00015525651533729857
final,0.00015523894953584235
0,0.11624062988651189
1,0.003303801016852343
2,0.003303801016852343
3,0.003303801016852343
4,0.0004356334258236297
5,0.0003080221724988191
6,0.00016162019031415903
7,0.00016162019031415903
8,0.00016162019031415903
9,0.00016162019031415903
10,0.00016162019031415903
11,0.00014833454058179202
12,0.00014833454058179202
13,0.00014833454058179202
14,0.00014833454058179202
15,0.00014833454058179202
16,0.00014093774095289731
17,0.00014062169295349684
18,0.00013850056324279825
19,0.00013850056324279825
20,0.00013792713789144044
21,0.00013713542536147592
22,0.00013661644689596646
23,0.00013661644689596646
24,0.00013541790016736023
25,0.00013541790016736023
26,0.00013537842833717372
27,0.00013536634804042704
28,0.0001349903058755319
29,0.0001349903058755319
30,0.0001349903058755319
31,0.00013495138113594267
32,0.00013494406370690787
33,0.00013484697679871308
34,0.0001348040631914502
35,0.0001348040631914502
36,0.0001348040631914502
37,0.00013480129633297756
38,0.00013480129633297756
39,0.00013479851419295736
40,0.00013479484350829713
final,0.0001347948240398891
